,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,east london,-33.0153,27.9116,67.75,71,99,13.22,ZA,1611539396
1,hermanus,-34.4187,19.2345,64.99,77,8,8.01,ZA,1611539407
2,cockburn town,21.4612,-71.1419,75.97,77,18,17.43,TC,1611539410
3,nouadhibou,20.931,-17.0347,64.4,77,0,16.11,MR,1611539411
4,avarua,-21.2078,-159.775,86.0,62,20,13.8,CK,1611539413
5,trapani,37.8333,12.6667,55.99,67,40,18.41,IT,1611539416
6,iralaya,15.0,-83.2333,78.08,82,29,10.94,HN,1611539418
7,punta arenas,-53.15,-70.9167,46.4,71,20,16.11,CL,1611539419
8,kavaratti,10.5669,72.642,81.46,75,8,12.5,IN,1611539433
9,mataura,-46.1927,168.8643,62.01,82,100,18.01,NZ,1611539439
10,kysyl-syr,63.8986,122.7617,-50.64,75,55,2.17,RU,1611539442
11,kamenka,51.3223,42.7678,28.78,98,99,14.32,RU,1611539445
12,rikitea,-23.1203,-134.9692,80.28,70,45,9.64,PF,1611539449
13,sitka,57.0531,-135.33,35.6,93,40,1.83,US,1611539452
14,dikson,73.5069,80.5464,-17.88,88,100,13.38,RU,1611539459
15,maniitsoq,65.4167,-52.9,15.24,77,0,4.09,GL,1611539492
16,jamestown,42.097,-79.2353,24.01,68,90,6.91,US,1611539525
17,effingham,32.3669,-81.3332,55.4,67,75,8.05,US,1611539555
18,fairbanks,64.8378,-147.7164,9.0,92,90,1.45,US,1611539282
19,sola,-13.8833,167.55,81.52,82,97,16.6,VU,1611539556
20,kirillov,59.863,38.3813,34.72,98,100,9.71,RU,1611539557
21,qaanaaq,77.484,-69.3632,8.08,79,0,4.63,GL,1611539557
22,provideniya,64.3833,-173.3,6.8,66,0,8.95,RU,1611539557
23,ilam,26.9167,87.9167,51.57,70,0,3.02,NP,1611539558
24,mount gambier,-37.8333,140.7667,77.0,53,40,11.5,AU,1611539558
25,hualmay,-11.0964,-77.6139,71.31,80,100,5.37,PE,1611539558
26,puerto escondido,15.85,-97.0667,77.0,78,40,2.46,MX,1611539558
27,guerrero negro,27.9769,-114.0611,58.06,62,0,13.89,MX,1611539558
28,margate,51.3813,1.3862,37.99,74,100,8.01,GB,1611539559
29,aasiaat,68.7098,-52.8699,7.23,81,0,3.85,GL,1611539559
30,chuy,-33.6971,-53.4616,71.35,94,0,6.69,UY,1611539559
31,greensburg,40.3015,-79.5389,28.99,74,75,3.69,US,1611539297
32,codrington,-38.2667,141.9667,69.87,68,96,11.56,AU,1611539560
33,balkhash,46.844,74.9804,-11.2,77,0,11.18,KZ,1611539560
34,ribeira grande,38.5167,-28.7,64.13,91,100,27.67,PT,1611539560
35,saldanha,-33.0117,17.9442,62.49,78,0,9.86,ZA,1611539425
36,ushuaia,-54.8,-68.3,48.2,76,75,21.85,AR,1611539302
37,busselton,-33.65,115.3333,71.98,51,16,2.8,AU,1611539561
38,arraial do cabo,-22.9661,-42.0278,75.25,86,50,17.94,BR,1611539561
39,kamariotissa,40.4833,25.4667,59.0,58,20,26.46,GR,1611539561
40,ambilobe,-13.2,49.05,72.1,93,16,2.04,MG,1611539561
41,vad,55.5301,44.2114,34.54,95,100,11.59,RU,1611539562
42,lebu,-37.6167,-73.65,55.62,77,0,17.6,CL,1611539562
43,port alfred,-33.5906,26.891,63.0,92,87,15.14,ZA,1611539563
44,cape town,-33.9258,18.4232,64.99,72,0,10.36,ZA,1611539563
45,byron bay,-28.65,153.6167,84.2,65,34,17.27,AU,1611539564
46,clyde river,70.4692,-68.5914,10.4,92,1,25.32,CA,1611539564
47,kirundo,-2.5833,30.1667,64.4,82,75,4.61,BI,1611539564
48,barcelos,41.5388,-8.6151,57.2,94,90,16.11,PT,1611539564
49,srednekolymsk,67.45,153.6833,-27.4,84,100,8.59,RU,1611539564
50,vaini,-21.2,-175.2,84.2,74,75,5.75,TO,1611539565
51,severomorsk,69.0689,33.4162,12.2,85,75,2.24,RU,1611539565
52,ostrovnoy,68.0531,39.5131,15.21,95,89,9.37,RU,1611539565
53,atuona,-9.8,-139.0333,78.6,76,4,13.58,PF,1611539565
54,vestmannaeyjar,63.4427,-20.2734,31.26,87,100,11.23,IS,1611539566
55,port elizabeth,-33.918,25.5701,66.2,82,90,8.05,ZA,1611539566
56,chalmette,29.9427,-89.9634,69.8,88,90,6.91,US,1611539568
57,sept-iles,50.2001,-66.3821,33.8,64,100,17.27,CA,1611539573
58,barrow,71.2906,-156.7887,-5.8,77,1,11.5,US,1611539597
59,ibra,22.6906,58.5334,53.71,47,0,2.62,OM,1611539618
60,andapa,-14.65,49.65,67.21,89,48,2.04,MG,1611539623
61,cairns,-16.9167,145.7667,89.01,54,99,10.36,AU,1611539599
62,lompoc,34.6391,-120.4579,51.8,71,75,10.36,US,1611539627
63,tura,25.5198,90.2201,61.3,59,0,2.44,IN,1611539629
64,ngunguru,-35.6167,174.5,84.99,55,0,11.01,NZ,1611539631
65,georgetown,5.4112,100.3354,81.0,89,20,3.44,MY,1611539633
66,mount isa,-20.7333,139.5,95.0,28,40,6.91,AU,1611539635
67,albany,42.6001,-73.9662,18.0,50,57,11.03,US,1611539411
68,carnarvon,-24.8667,113.6333,77.0,61,90,13.8,AU,1611539653
69,upernavik,72.7868,-56.1549,13.26,92,22,14.5,GL,1611539661
70,laguna,38.421,-121.4238,48.2,71,90,8.05,US,1611539427
71,soyo,-6.1349,12.3689,78.57,84,100,8.48,AO,1611539673
72,nuuk,64.1835,-51.7216,19.4,68,90,11.5,GL,1611539673
73,faanui,-16.4833,-151.75,81.68,72,1,13.94,PF,1611539673
74,pasan,22.85,82.2,56.71,51,0,1.32,IN,1611539673
75,saint-francois,46.4154,3.9054,37.99,81,75,9.22,FR,1611539673
76,darhan,49.4867,105.9228,6.93,94,100,1.86,MN,1611539674
77,keningau,5.3378,116.1602,84.2,74,20,3.44,MY,1611539602
78,new norfolk,-42.7826,147.0587,97.0,24,99,5.01,AU,1611539674
79,saint george,37.1041,-113.5841,46.4,46,1,9.22,US,1611539657
80,constitucion,-35.3333,-72.4167,55.54,83,0,7.45,CL,1611539675
81,bredasdorp,-34.5322,20.0403,64.99,77,24,8.01,ZA,1611539675
82,batagay-alyta,67.8006,130.4114,-34.49,76,100,1.81,RU,1611539675
83,puerto ayora,-0.7393,-90.3518,77.0,93,37,4.0,EC,1611539675
84,kaitangata,-46.2817,169.8464,66.0,60,100,17.0,NZ,1611539676
85,tongliao,43.6125,122.2653,7.18,95,100,5.46,CN,1611539654
86,zhangjiakou,40.81,114.8794,26.71,84,100,2.53,CN,1611539676
87,praia,14.9215,-23.5087,68.0,83,0,13.8,CV,1611539677
88,kupang,-10.1667,123.5833,78.8,94,90,4.61,ID,1611539678
89,coracao de jesus,-16.6853,-44.365,64.8,90,0,5.93,BR,1611539679
90,saint-pierre,-21.3393,55.4781,77.0,78,0,3.44,RE,1611539679
91,rio tuba,8.5061,117.4317,82.56,75,98,9.8,PH,1611539680
92,yellowknife,62.456,-114.3525,-18.0,76,20,10.36,CA,1611539681
93,vardo,70.3705,31.1107,19.4,93,75,16.11,NO,1611539681
94,ponta delgada,37.7333,-25.6667,64.0,94,75,20.71,PT,1611539682
95,bafq,31.6128,55.4107,35.69,63,0,2.08,IR,1611539682
96,pevek,69.7008,170.3133,-20.51,88,95,7.36,RU,1611539683
97,zabaykalsk,49.6333,117.3167,2.19,93,100,13.09,RU,1611539683
98,beckley,37.7782,-81.1882,36.0,100,90,4.61,US,1611539686
99,tasiilaq,65.6145,-37.6368,15.8,67,20,21.85,GL,1611539688
100,visnes,59.3556,5.2242,26.6,86,0,10.36,NO,1611539692
101,hilo,19.7297,-155.09,80.6,61,75,6.91,US,1611539438
102,ginir,7.1333,40.7,54.88,51,2,3.09,ET,1611539704
103,hobart,-42.8794,147.3294,97.0,20,0,17.27,AU,1611539539
104,kapaa,22.0752,-159.319,78.8,78,20,14.97,US,1611539710
105,banjar,-8.19,114.9675,77.0,94,75,3.44,ID,1611539713
106,flagstaff,35.1981,-111.6513,28.0,93,90,9.22,US,1611539687
107,mosquera,4.7059,-74.2302,53.6,82,40,5.75,CO,1611539720
108,khash,28.2211,61.2158,31.03,64,0,3.49,IR,1611539723
109,kieta,-6.2167,155.6333,86.83,55,21,8.81,PG,1611539724
110,hailar,49.2,119.7,3.47,90,100,13.62,CN,1611539724
111,madang,-5.2246,145.7966,86.27,66,48,5.73,PG,1611539724
112,mahebourg,-20.4081,57.7,75.2,94,20,4.61,MU,1611539726
113,katsuura,35.1333,140.3,53.01,71,75,8.05,JP,1611539726
114,sao filipe,14.8961,-24.4956,71.17,68,0,4.5,CV,1611539727
115,ponta do sol,32.6667,-17.1,57.0,72,4,1.99,PT,1611539727
116,lagoa,39.05,-27.9833,62.62,94,100,26.6,PT,1611539728
117,airai,-8.9266,125.4092,63.7,100,100,1.77,TL,1611539728
118,pionki,51.476,21.4499,35.01,97,90,4.94,PL,1611539729
119,pangnirtung,66.1451,-65.7125,14.36,79,0,4.47,CA,1611539729
120,tiksi,71.6872,128.8694,-45.85,78,55,8.66,RU,1611539730
121,sayyan,15.1718,44.3244,42.89,58,100,2.19,YE,1611539731
122,beringovskiy,63.05,179.3167,1.09,93,100,16.69,RU,1611539731
123,gravdal,68.1214,13.5031,27.97,94,99,10.6,NO,1611539732
124,hithadhoo,-0.6,73.0833,81.7,73,100,5.35,MV,1611539733
125,honiara,-9.4333,159.95,86.47,59,99,8.55,SB,1611539734
126,morgan city,29.6994,-91.2068,68.0,94,75,8.05,US,1611539735
127,aklavik,68.2191,-135.0107,-14.8,76,100,4.61,CA,1611539736
128,aksarka,66.5606,67.7975,-27.89,85,99,6.62,RU,1611539736
129,mar del plata,-38.0023,-57.5575,73.99,94,20,11.5,AR,1611539737
130,khatanga,71.9667,102.5,-17.91,88,100,9.89,RU,1611539737
131,rio grande,-32.035,-52.0986,73.99,92,1,3.62,BR,1611539582
132,maragogi,-9.0122,-35.2225,77.14,82,14,9.66,BR,1611539549
133,iqaluit,63.7506,-68.5145,-2.2,78,1,2.3,CA,1611539739
134,fairview,40.8126,-73.999,30.2,40,75,6.91,US,1611539739
135,sao jose do campestre,-6.3156,-35.7139,75.2,94,40,9.22,BR,1611539739
136,niquero,20.0431,-77.5828,75.16,80,56,10.76,CU,1611539740
137,mao,39.8885,4.2658,55.4,82,0,10.36,ES,1611539740
138,shache,38.4167,77.2406,16.92,79,0,2.71,CN,1611539741
139,portland,45.5234,-122.6762,37.99,91,100,1.01,US,1611539694
140,oktyabrskiy,54.4815,53.471,28.56,98,100,14.16,RU,1611539742
141,yulara,-25.2406,130.9889,89.6,48,1,17.27,AU,1611539742
142,deputatskiy,69.3,139.9,-36.78,82,100,4.54,RU,1611539743
143,tuktoyaktuk,69.4541,-133.0374,-4.0,77,90,13.8,CA,1611539743
144,baiao,-2.7906,-49.6717,73.62,97,96,2.73,BR,1611539744
145,panambi,-28.2925,-53.5017,69.48,85,0,6.11,BR,1611539744
146,griffith,41.5284,-87.4237,33.01,74,90,2.57,US,1611539744
147,narsaq,60.9167,-46.05,28.4,29,0,32.21,GL,1611539745
148,bethel,41.3712,-73.414,24.8,33,1,5.75,US,1611539534
149,necochea,-38.5473,-58.7368,77.0,62,4,11.43,AR,1611539746
150,nouakchott,18.0858,-15.9785,62.6,11,100,8.05,MR,1611539746
151,saint-philippe,-21.3585,55.7679,77.0,78,0,3.44,RE,1611539747
152,namatanai,-3.6667,152.4333,84.83,69,34,5.21,PG,1611539747
153,butaritari,3.0707,172.7902,79.23,76,11,10.31,KI,1611539748
154,asau,46.4333,26.4,34.0,68,88,1.54,RO,1611539748
155,kruisfontein,-34.0033,24.7314,64.0,83,9,5.01,ZA,1611539749
156,tabas,33.5959,56.9244,28.4,26,0,4.61,IR,1611539749
157,kodiak,57.79,-152.4072,39.2,41,1,8.05,US,1611539749
158,wahpeton,46.2652,-96.6059,3.2,60,1,6.91,US,1611539750
159,oyama,36.3,139.8,50.0,57,20,6.91,JP,1611539750
160,inongo,-1.95,18.2667,73.11,90,100,3.71,CD,1611539750
161,te anau,-45.4167,167.7167,63.54,64,98,9.06,NZ,1611539751
162,makokou,0.5738,12.8642,72.14,89,100,4.05,GA,1611539751
163,elizabeth city,36.2946,-76.2511,39.2,45,90,3.44,US,1611539752
164,blajeni,46.2333,22.9,37.94,87,100,4.79,RO,1611539753
165,port lincoln,-34.7333,135.8667,67.93,85,96,12.53,AU,1611539753
166,mitsamiouli,-11.3847,43.2844,80.73,74,95,7.45,KM,1611539757
167,vestmanna,62.1564,-7.1664,33.8,75,74,17.27,FO,1611539758
168,sioux lookout,50.1001,-91.917,-0.4,78,90,10.36,CA,1611539758
169,tuatapere,-46.1333,167.6833,62.01,82,100,18.01,NZ,1611539759
170,antofagasta,-23.65,-70.4,68.0,73,20,9.22,CL,1611539738
171,san antonio,29.4241,-98.4936,71.01,88,90,13.8,US,1611539621
172,cherskiy,68.75,161.3,-24.56,86,100,5.88,RU,1611539761
173,tamale,9.4008,-0.8393,73.92,19,1,4.59,GH,1611539762
174,luderitz,-26.6481,15.1594,66.61,61,36,20.71,NA,1611539762
175,richards bay,-28.783,32.0377,70.03,93,100,15.35,ZA,1611539762
176,aksu,41.1231,80.2644,13.75,89,0,2.01,CN,1611539763
177,thompson,55.7435,-97.8558,-11.2,77,90,8.05,CA,1611539763
178,san policarpo,12.1791,125.5072,81.18,80,92,12.28,PH,1611539763
179,rennes,48.1667,-1.6667,35.6,80,40,8.05,FR,1611539594
180,presidencia roque saenz pena,-26.7852,-60.4388,73.0,97,25,1.01,AR,1611539764
181,koungou,-12.7336,45.2042,75.2,94,0,2.3,YT,1611539764
182,popondetta,-8.7537,148.2534,89.24,59,98,2.91,PG,1611539716
183,obihiro,42.9172,143.2044,23.0,68,20,3.44,JP,1611539764
184,karlstad,59.3793,13.5036,30.2,100,90,2.3,SE,1611539764
185,olafsvik,64.8945,-23.7142,27.81,91,67,29.46,IS,1611539765
186,balakhninskiy,58.0106,114.2769,-22.88,81,34,1.54,RU,1611539765
187,buzmeyin,38.0507,58.2056,24.8,93,0,2.3,TM,1611539765
188,placido de castro,-10.3353,-67.1856,72.07,94,51,0.81,BR,1611539765
189,comodoro rivadavia,-45.8667,-67.5,73.4,23,0,28.77,AR,1611539765
190,antalaha,-14.9003,50.2788,74.52,84,0,4.27,MG,1611539766
191,namie,37.4833,141.0,50.0,61,0,4.94,JP,1611539766
192,sao joao da barra,-21.6403,-41.0511,75.79,87,1,11.39,BR,1611539472
193,hurghada,27.2574,33.8129,55.4,54,0,12.66,EG,1611539766
194,shaunavon,49.6501,-108.4181,1.4,85,100,10.36,CA,1611539770
195,melilla,35.2937,-2.9383,62.6,77,0,14.97,ES,1611539772
